
---------- Begin Simulation Statistics ----------
simSeconds                                   0.001161                       # Number of seconds simulated (Second)
simTicks                                   1161400500                       # Number of ticks simulated (Tick)
finalTick                                  1161400500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     11.75                       # Real time elapsed on the host (Second)
hostTickRate                                 98822885                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1223200                       # Number of bytes of host memory used (Byte)
simInsts                                      2849860                       # Number of instructions simulated (Count)
simOps                                        5296197                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   242491                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     450647                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                          2322802                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         5696515                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     6121                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        5593718                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   2578                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               406433                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            689212                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  49                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             2193423                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.550223                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.488062                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    756393     34.48%     34.48% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    214435      9.78%     44.26% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    233462     10.64%     54.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    231307     10.55%     65.45% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    186317      8.49%     73.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    185753      8.47%     82.41% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    212412      9.68%     92.10% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    116819      5.33%     97.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     56525      2.58%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               2193423                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   73833     63.57%     63.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     63.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     63.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     63.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     63.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     63.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     63.57% # attempts to use FU when none available (Count)
